engine,engine_version,tree_files,pft2_inode_index_depth,pft2_directory_depth,workload,rep,operations,logical_bytes,format_bytes,path_write_bytes,kernel_disk_bytes,duration_ms,kernel_amplification,three_way_kernel_amplification,kernel_bytes_per_op,go_version,os,arch,groups,clean_copied_bytes,index_disk_bytes,store_disk_bytes,sync_p50_us,sync_p99_us,sync_max_us
seglog,spike,65536,-1,-1,small-creates,1,32,4096,135232,139072,471040,135,115.000000,345.000000,14720.000,go1.26.5,darwin,arm64,32,0,2472903,10280208,3777,4144,4151
pebble,v2.1.6,65536,-1,-1,small-creates,1,32,4096,-1,-1,479232,137,117.000000,351.000000,14976.000,go1.26.5,darwin,arm64,0,0,-1,1416308,0,0,0
seglog,spike,65536,-1,-1,small-creates,2,32,4096,135232,139072,471040,142,115.000000,345.000000,14720.000,go1.26.5,darwin,arm64,32,0,2472903,10280208,3836,4161,6086
pebble,v2.1.6,65536,-1,-1,small-creates,2,32,4096,-1,-1,479232,131,117.000000,351.000000,14976.000,go1.26.5,darwin,arm64,0,0,-1,1416308,0,0,0
seglog,spike,65536,-1,-1,small-creates,3,32,4096,135232,139072,471040,139,115.000000,345.000000,14720.000,go1.26.5,darwin,arm64,32,0,2472903,10280208,3798,4192,4200
pebble,v2.1.6,65536,-1,-1,small-creates,3,32,4096,-1,-1,479232,126,117.000000,351.000000,14976.000,go1.26.5,darwin,arm64,0,0,-1,1416308,0,0,0
seglog,spike,65536,-1,-1,rename,1,32,0,4256,8096,225280,122,,,7040.000,go1.26.5,darwin,arm64,32,0,2471070,10147399,3210,4095,4237
pebble,v2.1.6,65536,-1,-1,rename,1,32,0,-1,-1,217088,111,,,6784.000,go1.26.5,darwin,arm64,0,0,-1,1285224,0,0,0
seglog,spike,65536,-1,-1,rename,2,32,0,4256,8096,225280,115,,,7040.000,go1.26.5,darwin,arm64,32,0,2471070,10147399,3068,3815,3820
pebble,v2.1.6,65536,-1,-1,rename,2,32,0,-1,-1,217088,126,,,6784.000,go1.26.5,darwin,arm64,0,0,-1,1285224,0,0,0
seglog,spike,65536,-1,-1,rename,3,32,0,4256,8096,225280,125,,,7040.000,go1.26.5,darwin,arm64,32,0,2471070,10147399,3211,4225,5829
pebble,v2.1.6,65536,-1,-1,rename,3,32,0,-1,-1,217088,113,,,6784.000,go1.26.5,darwin,arm64,0,0,-1,1285224,0,0,0
seglog,spike,65536,-1,-1,chmod,1,32,0,1312,2848,143360,118,,,4480.000,go1.26.5,darwin,arm64,32,0,2471590,10142671,3160,3819,3821
pebble,v2.1.6,65536,-1,-1,chmod,1,32,0,-1,-1,135168,119,,,4224.000,go1.26.5,darwin,arm64,0,0,-1,1279816,0,0,0
seglog,spike,65536,-1,-1,chmod,2,32,0,1312,2848,143360,117,,,4480.000,go1.26.5,darwin,arm64,32,0,2471577,10142658,3135,3843,3883
pebble,v2.1.6,65536,-1,-1,chmod,2,32,0,-1,-1,135168,118,,,4224.000,go1.26.5,darwin,arm64,0,0,-1,1279816,0,0,0
seglog,spike,65536,-1,-1,chmod,3,32,0,1312,2848,143360,124,,,4480.000,go1.26.5,darwin,arm64,32,0,2471571,10142652,3201,3859,3896
pebble,v2.1.6,65536,-1,-1,chmod,3,32,0,-1,-1,135168,122,,,4224.000,go1.26.5,darwin,arm64,0,0,-1,1279816,0,0,0
seglog,spike,65536,-1,-1,mkdir,1,32,0,3616,6688,204800,117,,,6400.000,go1.26.5,darwin,arm64,32,0,2472215,10147136,3147,3815,3837
pebble,v2.1.6,65536,-1,-1,mkdir,1,32,0,-1,-1,196608,112,,,6144.000,go1.26.5,darwin,arm64,0,0,-1,1283784,0,0,0
seglog,spike,65536,-1,-1,mkdir,2,32,0,3616,6688,204800,128,,,6400.000,go1.26.5,darwin,arm64,32,0,2472215,10147136,3771,4195,4208
pebble,v2.1.6,65536,-1,-1,mkdir,2,32,0,-1,-1,196608,114,,,6144.000,go1.26.5,darwin,arm64,0,0,-1,1283784,0,0,0
seglog,spike,65536,-1,-1,mkdir,3,32,0,3616,6688,204800,125,,,6400.000,go1.26.5,darwin,arm64,32,0,2472215,10147136,3338,4011,4219
pebble,v2.1.6,65536,-1,-1,mkdir,3,32,0,-1,-1,196608,120,,,6144.000,go1.26.5,darwin,arm64,0,0,-1,1283784,0,0,0
seglog,spike,65536,-1,-1,mixed,1,100,288000,335140,343300,1499136,409,5.205333,15.616000,14991.360,go1.26.5,darwin,arm64,100,0,2474958,10486491,3811,6331,7508
pebble,v2.1.6,65536,-1,-1,mixed,1,100,288000,-1,-1,1495040,388,5.191111,15.573333,14950.400,go1.26.5,darwin,arm64,0,0,-1,1620932,0,0,0
seglog,spike,65536,-1,-1,mixed,2,100,288000,335140,343300,1499136,385,5.205333,15.616000,14991.360,go1.26.5,darwin,arm64,100,0,2474920,10486453,3819,4197,4205
pebble,v2.1.6,65536,-1,-1,mixed,2,100,288000,-1,-1,1495040,403,5.191111,15.573333,14950.400,go1.26.5,darwin,arm64,0,0,-1,1620932,0,0,0
seglog,spike,65536,-1,-1,mixed,3,100,288000,335140,343300,1499136,386,5.205333,15.616000,14991.360,go1.26.5,darwin,arm64,100,0,2474982,10486515,3784,5960,6357
pebble,v2.1.6,65536,-1,-1,mixed,3,100,288000,-1,-1,1495040,383,5.191111,15.573333,14950.400,go1.26.5,darwin,arm64,0,0,-1,1620932,0,0,0
seglog,spike,524288,-1,-1,random-4k,1,32,131072,132928,135232,462848,149,3.531250,10.593750,14464.000,go1.26.5,darwin,arm64,32,0,15479610,76958763,3939,4221,4347
pebble,v2.1.6,524288,-1,-1,random-4k,1,32,131072,-1,-1,462848,137,3.531250,10.593750,14464.000,go1.26.5,darwin,arm64,0,0,-1,7909981,0,0,0
seglog,spike,524288,-1,-1,random-4k,2,32,131072,132928,135232,462848,142,3.531250,10.593750,14464.000,go1.26.5,darwin,arm64,32,0,15479611,76958764,3928,4117,4153
pebble,v2.1.6,524288,-1,-1,random-4k,2,32,131072,-1,-1,462848,132,3.531250,10.593750,14464.000,go1.26.5,darwin,arm64,0,0,-1,7909981,0,0,0
seglog,spike,524288,-1,-1,random-4k,3,32,131072,132928,135232,462848,136,3.531250,10.593750,14464.000,go1.26.5,darwin,arm64,32,0,15479619,76958772,3847,4107,4176
pebble,v2.1.6,524288,-1,-1,random-4k,3,32,131072,-1,-1,462848,129,3.531250,10.593750,14464.000,go1.26.5,darwin,arm64,0,0,-1,7909981,0,0,0
seglog,spike,524288,-1,-1,sequential-append,1,32,131072,132928,135232,462848,133,3.531250,10.593750,14464.000,go1.26.5,darwin,arm64,32,0,15478701,76957854,3849,4154,4171
pebble,v2.1.6,524288,-1,-1,sequential-append,1,32,131072,-1,-1,462848,129,3.531250,10.593750,14464.000,go1.26.5,darwin,arm64,0,0,-1,7909981,0,0,0
seglog,spike,524288,-1,-1,sequential-append,2,32,131072,132928,135232,462848,136,3.531250,10.593750,14464.000,go1.26.5,darwin,arm64,32,0,15478701,76957854,3843,4079,4174
pebble,v2.1.6,524288,-1,-1,sequential-append,2,32,131072,-1,-1,462848,128,3.531250,10.593750,14464.000,go1.26.5,darwin,arm64,0,0,-1,7909981,0,0,0
seglog,spike,524288,-1,-1,sequential-append,3,32,131072,132928,135232,462848,137,3.531250,10.593750,14464.000,go1.26.5,darwin,arm64,32,0,15478701,76957854,3841,4187,4830
pebble,v2.1.6,524288,-1,-1,sequential-append,3,32,131072,-1,-1,462848,129,3.531250,10.593750,14464.000,go1.26.5,darwin,arm64,0,0,-1,7909981,0,0,0
seglog,spike,524288,-1,-1,small-creates,1,32,4096,135232,139072,479232,141,117.000000,351.000000,14976.000,go1.26.5,darwin,arm64,32,0,15479978,76962971,3857,4193,4942
pebble,v2.1.6,524288,-1,-1,small-creates,1,32,4096,-1,-1,479232,132,117.000000,351.000000,14976.000,go1.26.5,darwin,arm64,0,0,-1,7913949,0,0,0
seglog,spike,524288,-1,-1,small-creates,2,32,4096,135232,139072,479232,145,117.000000,351.000000,14976.000,go1.26.5,darwin,arm64,32,0,15479978,76962971,4022,4414,5876
pebble,v2.1.6,524288,-1,-1,small-creates,2,32,4096,-1,-1,479232,136,117.000000,351.000000,14976.000,go1.26.5,darwin,arm64,0,0,-1,7913949,0,0,0
seglog,spike,524288,-1,-1,small-creates,3,32,4096,135232,139072,479232,139,117.000000,351.000000,14976.000,go1.26.5,darwin,arm64,32,0,15479978,76962971,3841,4142,5974
pebble,v2.1.6,524288,-1,-1,small-creates,3,32,4096,-1,-1,479232,128,117.000000,351.000000,14976.000,go1.26.5,darwin,arm64,0,0,-1,7913949,0,0,0
seglog,spike,524288,-1,-1,rename,1,32,0,4256,8096,282624,126,,,8832.000,go1.26.5,darwin,arm64,32,0,15478143,76830160,3148,4033,4034
pebble,v2.1.6,524288,-1,-1,rename,1,32,0,-1,-1,217088,120,,,6784.000,go1.26.5,darwin,arm64,0,0,-1,7782865,0,0,0
seglog,spike,524288,-1,-1,rename,2,32,0,4256,8096,282624,128,,,8832.000,go1.26.5,darwin,arm64,32,0,15478143,76830160,3682,4122,4209
pebble,v2.1.6,524288,-1,-1,rename,2,32,0,-1,-1,217088,113,,,6784.000,go1.26.5,darwin,arm64,0,0,-1,7782865,0,0,0
seglog,spike,524288,-1,-1,rename,3,32,0,4256,8096,282624,134,,,8832.000,go1.26.5,darwin,arm64,32,0,15478143,76830160,3806,4146,4153
pebble,v2.1.6,524288,-1,-1,rename,3,32,0,-1,-1,217088,121,,,6784.000,go1.26.5,darwin,arm64,0,0,-1,7782865,0,0,0
seglog,spike,524288,-1,-1,chmod,1,32,0,1312,2848,188416,118,,,5888.000,go1.26.5,darwin,arm64,32,0,15478681,76825450,3094,3959,3982
pebble,v2.1.6,524288,-1,-1,chmod,1,32,0,-1,-1,135168,115,,,4224.000,go1.26.5,darwin,arm64,0,0,-1,7777457,0,0,0
seglog,spike,524288,-1,-1,chmod,2,32,0,1312,2848,188416,131,,,5888.000,go1.26.5,darwin,arm64,32,0,15478689,76825458,3852,4071,4122
pebble,v2.1.6,524288,-1,-1,chmod,2,32,0,-1,-1,135168,132,,,4224.000,go1.26.5,darwin,arm64,0,0,-1,7777457,0,0,0
